mat1,mat2
84602,0
84602.3333333333,0
84602.6666666667,0
84603,0
84603.3333333333,0
84603.6666666667,0
84604,0
84604.3333333333,0
84604.6666666667,0
84605,0
84605.3333333333,0
84605.6666666667,0
84606,0
84606.3333333333,0
84606.6666666667,0
84607,0
84607.3333333333,0
84607.6666666667,0
84608,0
84608.3333333333,0
84608.6666666667,0
84609,0
84609.3333333333,0
84609.6666666667,0
84610,0
84610.3333333333,0
84610.6666666667,0
84611,0
84611.3333333333,0
84611.6666666667,0
84612,0
84612.3333333333,0
84612.6666666667,0
84613,0
84613.3333333333,0
84613.6666666667,0
84614,0
84614.3333333333,0
84614.6666666667,0
84615,0
84615.3333333333,0
84615.6666666667,0
84616,0
84616.3333333333,0
84616.6666666667,0
84617,0
84617.3333333333,0
84617.6666666667,0
84618,0
84618.3333333333,0
84618.6666666667,0
84619,0
84619.3333333333,0
84619.6666666667,0
84620,0
84620.3333333333,0
84620.6666666667,0
84621,0
84621.3333333333,0
84621.6666666667,0
84622,0
84622.3333333333,0
84622.6666666667,0
84623,0
84623.3333333333,0
84623.6666666667,0
84624,0
84624.3333333333,0
84624.6666666667,0
84625,0
84625.3333333333,0
84625.6666666667,0
84626,0
84626.3333333333,0
84626.6666666667,0
84627,0
84627.3333333333,0
84627.6666666667,0
84628,0
84628.3333333333,0
84628.6666666667,0
84629,0
84629.3333333333,0
84629.6666666667,0
84630,0
84630.3333333333,0
84630.6666666667,0
84631,0
84631.3333333333,0
84631.6666666667,0
84632,0
84632.3333333333,0
84632.6666666667,0
84633,0
84633.3333333333,0
84633.6666666667,0
84634,0
84634.3333333333,0
84634.6666666667,0
84635,0
84635.3333333333,0
84635.6666666667,0
84636,0
84636.3333333333,0
84636.6666666667,0
84637,0
84637.3333333333,0
84637.6666666667,0
84638,0
84638.3333333333,0
84638.6666666667,0
84639,0
84639.3333333333,0
84639.6666666667,0
84640,0
84640.3333333333,0
84640.6666666667,0
84641,0
84641.3333333333,0
84641.6666666667,0
84642,0
84642.3333333333,0
84642.6666666667,0
84643,0
84643.3333333333,0
84643.6666666667,0
84644,0
84644.3333333333,0
84644.6666666667,0
84645,0
84645.3333333333,0
84645.6666666667,0
84646,0
84646.3333333333,0
84646.6666666667,0
84647,0
84647.3333333333,0
84647.6666666667,0
84648,0
84648.3333333333,0
84648.6666666667,0
84649,0
84649.3333333333,0
84649.6666666667,0
84650,0
84650.3333333333,0
84650.6666666667,0
84651,0
84651.3333333333,0
84651.6666666667,0
84652,0
84652.3333333333,0
84652.6666666667,0
84653,0
84653.3333333333,0
84653.6666666667,0
84654,0
84654.3333333333,0
84654.6666666667,0
84655,0
84655.3333333333,0
84655.6666666667,0
84656,0
84656.3333333333,0
84656.6666666667,0
84657,0
84657.3333333333,0
84657.6666666667,0
84658,0
84658.3333333333,0
84658.6666666667,0
84659,0
84659.3333333333,0
84659.6666666667,0
84660,0
84660.3333333333,0
84660.6666666667,0
84661,0
84661.3333333333,0
84661.6666666667,0
84662,0
84662.3333333333,0
84662.6666666667,0
84663,0
84663.3333333333,0
84663.6666666667,0
84664,0
84664.3333333333,0
84664.6666666667,0
84665,0
84665.3333333333,0
84665.6666666667,0
84666,0
84666.3333333333,0
84666.6666666667,0
84667,0
84667.3333333333,0
84667.6666666667,0
84668,0
84668.3333333333,0
84668.6666666667,0
84669,0
84669.3333333333,0
84669.6666666667,0
84670,0
84670.3333333333,0
84670.6666666667,0
84671,0
84671.3333333333,0
84671.6666666667,0
84672,0
84672.3333333333,0
84672.6666666667,0
84673,0
84673.3333333333,0
84673.6666666667,0
84674,0
84674.3333333333,0
84674.6666666667,0
84675,0
84675.3333333333,0
84675.6666666667,0
84676,0
84676.3333333333,0
84676.6666666667,0
84677,0
84677.3333333333,0
84677.6666666667,0
84678,0
84678.3333333333,0
84678.6666666667,0
84679,0
84679.3333333333,0
84679.6666666667,0
84680,0
84680.3333333333,0
84680.6666666667,0
84681,0
84681.3333333333,0
84681.6666666667,0
84682,0
84682.3333333333,0
84682.6666666667,0
84683,0
84683.3333333333,0
84683.6666666667,0
84684,0
84684.3333333333,0
84684.6666666667,0
84685,0
84685.3333333333,0
84685.6666666667,0
84686,0
84686.3333333333,0
84686.6666666667,0
84687,0
84687.3333333333,0
84687.6666666667,0
84688,0
84688.3333333333,0
84688.6666666667,0
84689,0
84689.3333333333,0
84689.6666666667,0
84690,0
84690.3333333333,0
84690.6666666667,0
84691,0
84691.3333333333,0
84691.6666666667,0
84692,0
84692.3333333333,0
84692.6666666667,0
84693,0
84693.3333333333,0
84693.6666666667,0
84694,0
84694.3333333333,0
84694.6666666667,0
84695,0
84695.3333333333,0
84695.6666666667,0
84696,0
84696.3333333333,0
84696.6666666667,0
84697,0
84697.3333333333,0
84697.6666666667,0
84698,0
84698.3333333333,0
84698.6666666667,0
84699,0
84699.3333333333,0
84699.6666666667,0
84700,0
84700.3333333333,0
84700.6666666667,0
84701,0
84701.3333333333,0
84701.6666666667,0
84702,0
84702.3333333333,0
84702.6666666667,0
84703,0
84703.3333333333,0
84703.6666666667,0
84704,0
84704.3333333333,0
84704.6666666667,0
84705,0
84705.3333333333,0
84705.6666666667,0
84706,0
84706.3333333333,0
84706.6666666667,0
84707,0
84707.3333333333,0
84707.6666666667,0
84708,0
84708.3333333333,0
84708.6666666667,0
84709,0
84709.3333333333,0
84709.6666666667,0
84710,0
84710.3333333333,0
84710.6666666667,0
84711,0
84711.3333333333,0
84711.6666666667,0
84712,0
84712.3333333333,0
84712.6666666667,0
84713,0
84713.3333333333,0
84713.6666666667,0
84714,0
84714.3333333333,0
84714.6666666667,0
84715,0
84715.3333333333,0
84715.6666666667,0
84716,0
84716.3333333333,0
84716.6666666667,0
84717,0
84717.3333333333,0
84717.6666666667,0
84718,0
84718.3333333333,0
84718.6666666667,0
84719,0
84719.3333333333,0
84719.6666666667,0
84720,0
84720.3333333333,0
84720.6666666667,0
84721,0
84721.3333333333,0
84721.6666666667,0
84722,0
84722.3333333333,0
84722.6666666667,0
84723,0
84723.3333333333,0
84723.6666666667,0
84724,0
84724.3333333333,0
84724.6666666667,0
84725,0
84725.3333333333,0
84725.6666666667,0
84726,0
84726.3333333333,0
84726.6666666667,0
84727,0
84727.3333333333,0
84727.6666666667,0
84728,0
84728.3333333333,0
84728.6666666667,0
84729,0
84729.3333333333,0
84729.6666666667,0
84730,0
84730.3333333333,0
84730.6666666667,0
84731,0
84731.3333333333,0
84731.6666666667,0
84732,0
84732.3333333333,0
84732.6666666667,0
84733,0
84733.3333333333,0
84733.6666666667,0
84734,0
84734.3333333333,0
84734.6666666667,0
84735,0
84735.3333333333,0
84735.6666666667,0
84736,0
84736.3333333333,0
84736.6666666667,0
84737,0
84737.3333333333,0
84737.6666666667,0
84738,0
84738.3333333333,0
84738.6666666667,0
84739,0
84739.3333333333,0
84739.6666666667,0
84740,0
84740.3333333333,0
84740.6666666667,0
84741,0
84741.3333333333,0
84741.6666666667,0
84742,0
84742.3333333333,0
84742.6666666667,0
84743,0
84743.3333333333,0
84743.6666666667,0
84744,0
84744.3333333333,0
84744.6666666667,0
84745,0
84745.3333333333,0
84745.6666666667,0
84746,0
84746.3333333333,0
84746.6666666667,0
84747,0
84747.3333333333,0
84747.6666666667,0
84748,0
84748.3333333333,0
84748.6666666667,0
84749,0
84749.3333333333,0
84749.6666666667,0
84750,0
84750.3333333333,0
84750.6666666667,0
84751,0
84751.3333333333,0
84751.6666666667,0
84752,0
84752.3333333333,0
84752.6666666667,0
84753,0
84753.3333333333,0
84753.6666666667,0
84754,0
84754.3333333333,0
84754.6666666667,0
84755,0
84755.3333333333,0
84755.6666666667,0
84756,0
84756.3333333333,0
84756.6666666667,0
84757,0
84757.3333333333,0
84757.6666666667,0
84758,0
84758.3333333333,0
84758.6666666667,0
84759,0
84759.3333333333,0
84759.6666666667,0
84760,0
84760.3333333333,0
84760.6666666667,0
84761,0
84761.3333333333,0
84761.6666666667,0
84762,0
84762.3333333333,0
84762.6666666667,0
84763,0
84763.3333333333,0
84763.6666666667,0
84764,0
84764.3333333333,0
84764.6666666667,0
84765,0
84765.3333333333,0
84765.6666666667,0
84766,0
84766.3333333333,0
84766.6666666667,0
84767,0
84767.3333333333,0
84767.6666666667,0
84768,0
84768.3333333333,0
84768.6666666667,0
84769,0
84769.3333333333,0
84769.6666666667,0
84770,0
84770.3333333333,0
84770.6666666667,0
84771,0
84771.3333333333,0
84771.6666666667,0
84772,0
84772.3333333333,0
84772.6666666667,0
84773,0
84773.3333333333,0
84773.6666666667,0
84774,0
84774.3333333333,0
84774.6666666667,0
84775,0
84775.3333333333,0
84775.6666666667,0
84776,0
84776.3333333333,0
84776.6666666667,0
84777,0
84777.3333333333,0
84777.6666666667,0
84778,0
84778.3333333333,0
84778.6666666667,0
84779,0
84779.3333333333,0
84779.6666666667,0
84780,0
84780.3333333333,0
84780.6666666667,0
84781,0
84781.3333333333,0
84781.6666666667,0
84782,0
84782.3333333333,0
84782.6666666667,0
84783,0
84783.3333333333,0
84783.6666666667,0
84784,0
84784.3333333333,0
84784.6666666667,0
84785,0
84785.3333333333,0
84785.6666666667,0
84786,0
84786.3333333333,0
84786.6666666667,0
84787,0
84787.3333333333,0
84787.6666666667,0
84788,0
84788.3333333333,0
84788.6666666667,0
84789,0
84789.3333333333,0
84789.6666666667,0
84790,0
84790.3333333333,0
84790.6666666667,0
84791,0
84791.3333333333,0
84791.6666666667,0
84792,0
84792.3333333333,0
84792.6666666667,0
84793,0
84793.3333333333,0
84793.6666666667,0
84794,0
84794.3333333333,0
84794.6666666667,0
84795,0
84795.3333333333,0
84795.6666666667,0
84796,0
84796.3333333333,0
84796.6666666667,0
84797,0
84797.3333333333,0
84797.6666666667,0
84798,0
84798.3333333333,0
84798.6666666667,0
84799,0
84799.3333333333,0
84799.6666666667,0
84800,0
84800.3333333333,0
84800.6666666667,0
84801,0
84801.3333333333,0
84801.6666666667,0
84802,0
84802.3333333333,0
84802.6666666667,0
84803,0
84803.3333333333,0
84803.6666666667,0
84804,0
84804.3333333333,0
84804.6666666667,0
84805,0
84805.3333333333,0
84805.6666666667,0
84806,0
84806.3333333333,0
84806.6666666667,0
84807,0
84807.3333333333,0
84807.6666666667,0
84808,0
84808.3333333333,0
84808.6666666667,0
84809,0
84809.3333333333,0
84809.6666666667,0
84810,0
84810.3333333333,0
84810.6666666667,0
84811,0
84811.3333333333,0
84811.6666666667,0
84812,0
84812.3333333333,0
84812.6666666667,0
84813,0
84813.3333333333,0
84813.6666666667,0
84814,0
84814.3333333333,0
84814.6666666667,0
84815,0
84815.3333333333,0
84815.6666666667,0
84816,0
84816.3333333333,0
84816.6666666667,0
84817,0
84817.3333333333,0
84817.6666666667,0
84818,0
84818.3333333333,0
84818.6666666667,0
84819,0
84819.3333333333,0
84819.6666666667,0
84820,0
84820.3333333333,0
84820.6666666667,0
84821,0
84821.3333333333,0
84821.6666666667,0
84822,0
84822.3333333333,0
84822.6666666667,0
84823,0
84823.3333333333,0
84823.6666666667,0
84824,0
84824.3333333333,0
84824.6666666667,0
84825,0
84825.3333333333,0
84825.6666666667,0
84826,0
84826.3333333333,0
84826.6666666667,0
84827,0
84827.3333333333,0
84827.6666666667,0
84828,0
84828.3333333333,0
84828.6666666667,0
84829,0
84829.3333333333,0
84829.6666666667,0
84830,0
84830.3333333333,0
84830.6666666667,0
84831,0
84831.3333333333,0
84831.6666666667,0
84832,0
84832.3333333333,0
84832.6666666667,0
84833,0
84833.3333333333,0
84833.6666666667,0
84834,0
84834.3333333333,0
84834.6666666667,0
84835,0
84835.3333333333,0
84835.6666666667,0
84836,0
84836.3333333333,0
84836.6666666667,0
84837,0
84837.3333333333,0
84837.6666666667,0
84838,0
84838.3333333333,0
84838.6666666667,0
84839,0
84839.3333333333,0
84839.6666666667,0
84840,0
84840.3333333333,0
84840.6666666667,0
84841,0
84841.3333333333,0
84841.6666666667,0
84842,0
84842.3333333333,0
84842.6666666667,0
84843,0
84843.3333333333,0
84843.6666666667,0
84844,0
84844.3333333333,0
84844.6666666667,0
84845,0
84845.3333333333,0
84845.6666666667,0
84846,0
84846.3333333333,0
84846.6666666667,0
84847,0
84847.3333333333,0
84847.6666666667,0
84848,0
84848.3333333333,0
84848.6666666667,0
84849,0
84849.3333333333,0
84849.6666666667,0
84850,0
84850.3333333333,0
84850.6666666667,0
84851,0
84851.3333333333,0
84851.6666666667,0
84852,0
84852.3333333333,0
84852.6666666667,0
84853,0
84853.3333333333,0
84853.6666666667,0
84854,0
84854.3333333333,0
84854.6666666667,0
84855,0
84855.3333333333,0
84855.6666666667,0
84856,0
84856.3333333333,0
84856.6666666667,0
84857,0
84857.3333333333,0
84857.6666666667,0
84858,0
84858.3333333333,0
84858.6666666667,0
84859,0
84859.3333333333,0
84859.6666666667,0
84860,0
84860.3333333333,0
84860.6666666667,0
84861,0
84861.3333333333,0
84861.6666666667,0
84862,0
84862.3333333333,0
84862.6666666667,0
84863,0
84863.3333333333,0
84863.6666666667,0
84864,0
84864.3333333333,0
84864.6666666667,0
84865,0
84865.3333333333,0
84865.6666666667,0
84866,0
84866.3333333333,0
84866.6666666667,0
84867,0
84867.3333333333,0
84867.6666666667,0
84868,0
84868.3333333333,0
84868.6666666667,0
84869,0
84869.3333333333,0
84869.6666666667,0
84870,0
84870.3333333333,0
84870.6666666667,0
84871,0
84871.3333333333,0
84871.6666666667,0
84872,0
84872.3333333333,0
84872.6666666667,0
84873,0
84873.3333333333,0
84873.6666666667,0
84874,0
84874.3333333333,0
84874.6666666667,0
84875,0
84875.3333333333,0
84875.6666666667,0
84876,0
84876.3333333333,0
84876.6666666667,0
84877,0
84877.3333333333,0
84877.6666666667,0
84878,0
84878.3333333333,0
84878.6666666667,0
84879,0
84879.3333333333,0
84879.6666666667,0
84880,0
84880.3333333333,0
84880.6666666667,0
84881,0
84881.3333333333,0
84881.6666666667,0
84882,0
84882.3333333333,0
84882.6666666667,0
84883,0
84883.3333333333,0
84883.6666666667,0
84884,0
84884.3333333333,0
84884.6666666667,0
84885,0
84885.3333333333,0
84885.6666666667,0
84886,0
84886.3333333333,0
84886.6666666667,0
84887,0
84887.3333333333,0
84887.6666666667,0
84888,0
84888.3333333333,0
84888.6666666667,0
84889,0
84889.3333333333,0
84889.6666666667,0
84890,0
84890.3333333333,0
84890.6666666667,0
84891,0
84891.3333333333,0
84891.6666666667,0
84892,0
84892.3333333333,0
84892.6666666667,0
84893,0
84893.3333333333,0
84893.6666666667,0
84894,0
84894.3333333333,0
84894.6666666667,0
84895,0
84895.3333333333,0
84895.6666666667,0
84896,0
84896.3333333333,0
84896.6666666667,0
84897,0
84897.3333333333,0
84897.6666666667,0
84898,0
84898.3333333333,0
84898.6666666667,0
84899,0
84899.3333333333,0
84899.6666666667,0
84900,0
84900.3333333333,0
84900.6666666667,0
84901,0
84901.3333333333,0
84901.6666666667,0
84902,0
84902.3333333333,0
84902.6666666667,0
84903,0
84903.3333333333,0
84903.6666666667,0
84904,0
84904.3333333333,0
84904.6666666667,0
84905,0
84905.3333333333,0
84905.6666666667,0
84906,0
84906.3333333333,0
84906.6666666667,0
84907,0
84907.3333333333,0
84907.6666666667,0
84908,0
84908.3333333333,0
84908.6666666667,0
84909,0
84909.3333333333,0
84909.6666666667,0
84910,0
84910.3333333333,0
84910.6666666667,0
84911,0
84911.3333333333,0
84911.6666666667,0
84912,0
84912.3333333333,0
84912.6666666667,0
84913,0
84913.3333333333,0
84913.6666666667,0
84914,0
84914.3333333333,0
84914.6666666667,0
84915,0
84915.3333333333,0
84915.6666666667,0
84916,0
84916.3333333333,0
84916.6666666667,0
84917,0
84917.3333333333,0
84917.6666666667,0
84918,0
84918.3333333333,0
84918.6666666667,0
84919,0
84919.3333333333,0
84919.6666666667,0
84920,0
84920.3333333333,0
84920.6666666667,0
84921,0
84921.3333333333,0
84921.6666666667,0
84922,0
84922.3333333333,0
84922.6666666667,0
84923,0
84923.3333333333,0
84923.6666666667,0
84924,0
84924.3333333333,0
84924.6666666667,0
84925,0
84925.3333333333,0
84925.6666666667,0
84926,0
84926.3333333333,0
84926.6666666667,0
84927,0
84927.3333333333,0
84927.6666666667,0
84928,0
84928.3333333333,0
84928.6666666667,0
84929,0
84929.3333333333,0
84929.6666666667,0
84930,0
84930.3333333333,0
84930.6666666667,0
84931,0
84931.3333333333,0
84931.6666666667,0
84932,0
84932.3333333333,0
84932.6666666667,0
84933,0
84933.3333333333,0
84933.6666666667,0
84934,0
84934.3333333333,0
84934.6666666667,0
84935,0
84935.3333333333,0
84935.6666666667,0
84936,0
84936.3333333333,0
84936.6666666667,0
84937,0
84937.3333333333,0
84937.6666666667,0
84938,0
84938.3333333333,0
84938.6666666667,0
84939,0
84939.3333333333,0
84939.6666666667,0
84940,0
84940.3333333333,0
84940.6666666667,0
84941,0
84941.3333333333,0
84941.6666666667,0
84942,0
84942.3333333333,0
84942.6666666667,0
84943,0
84943.3333333333,0
84943.6666666667,0
84944,0
84944.3333333333,0
84944.6666666667,0
84945,0
84945.3333333333,0
84945.6666666667,0
84946,0
84946.3333333333,0
84946.6666666667,0
84947,0
84947.3333333333,0
84947.6666666667,0
84948,0
84948.3333333333,0
84948.6666666667,0
84949,0
84949.3333333333,0
84949.6666666667,0
84950,0
84950.3333333333,0
84950.6666666667,0
84951,0
84951.3333333333,0
84951.6666666667,0
84952,0
84952.3333333333,0
84952.6666666667,0
84953,0
84953.3333333333,0
84953.6666666667,0
84954,0
84954.3333333333,0
84954.6666666667,0
84955,0
84955.3333333333,0
84955.6666666667,0
84956,0
84956.3333333333,0
84956.6666666667,0
84957,0
84957.3333333333,0
84957.6666666667,0
84958,0
84958.3333333333,0
84958.6666666667,0
84959,0
84959.3333333333,0
84959.6666666667,0
84960,0
84960.3333333333,0
84960.6666666667,0
84961,0
84961.3333333333,0
84961.6666666667,0
84962,0
84962.3333333333,0
84962.6666666667,0
84963,0
84963.3333333333,0
84963.6666666667,0
84964,0
84964.3333333333,0
84964.6666666667,0
84965,0
84965.3333333333,0
84965.6666666667,0
84966,0
84966.3333333333,0
84966.6666666667,0
84967,0
84967.3333333333,0
84967.6666666667,0
84968,0
84968.3333333333,0
84968.6666666667,0
84969,0
84969.3333333333,0
84969.6666666667,0
84970,0
84970.3333333333,0
84970.6666666667,0
84971,0
84971.3333333333,0
84971.6666666667,0
84972,0
84972.3333333333,0
84972.6666666667,0
84973,0
84973.3333333333,0
84973.6666666667,0
84974,0
84974.3333333333,0
84974.6666666667,0
84975,0
84975.3333333333,0
84975.6666666667,0
84976,0
84976.3333333333,0
84976.6666666667,0
84977,0
84977.3333333333,0
84977.6666666667,0
84978,0
84978.3333333333,0
84978.6666666667,0
84979,0
84979.3333333333,0
84979.6666666667,0
84980,0
84980.3333333333,0
84980.6666666667,0
84981,0
84981.3333333333,0
84981.6666666667,0
84982,0
84982.3333333333,0
84982.6666666667,0
84983,0
84983.3333333333,0
84983.6666666667,0
84984,0
84984.3333333333,0
84984.6666666667,0
84985,0
84985.3333333333,0
84985.6666666667,0
84986,0
84986.3333333333,0
84986.6666666667,0
84987,0
84987.3333333333,0
84987.6666666667,0
84988,0
84988.3333333333,0
84988.6666666667,0
84989,0
84989.3333333333,0
84989.6666666667,0
84990,0
84990.3333333333,0
84990.6666666667,0
84991,0
84991.3333333333,0
84991.6666666667,0
84992,0
84992.3333333333,0
84992.6666666667,0
84993,0
84993.3333333333,0
84993.6666666667,0
84994,0
84994.3333333333,0
84994.6666666667,0
84995,0
84995.3333333333,0
84995.6666666667,0
84996,0
84996.3333333333,0
84996.6666666667,0
84997,0
84997.3333333333,0
84997.6666666667,0
84998,0
84998.3333333333,0
84998.6666666667,0
84999,0
84999.3333333333,0
84999.6666666667,0
85000,0
85000.3333333333,0
85000.6666666667,0
85001,0
85001.3333333333,0
85001.6666666667,0
85002,0
85002.3333333333,0
85002.6666666667,0
85003,0
85003.3333333333,0
85003.6666666667,0
85004,0
85004.3333333333,0
85004.6666666667,0
85005,0
85005.3333333333,0
85005.6666666667,0
85006,0
85006.3333333333,0
85006.6666666667,0
85007,0
85007.3333333333,0
85007.6666666667,0
85008,0
85008.3333333333,0
85008.6666666667,0
85009,0
85009.3333333333,0
85009.6666666667,0
85010,0
85010.3333333333,0
85010.6666666667,0
85011,0
85011.3333333333,0
85011.6666666667,0
85012,0
85012.3333333333,0
85012.6666666667,0
85013,0
85013.3333333333,0
85013.6666666667,0
85014,0
85014.3333333333,0
85014.6666666667,0
85015,0
85015.3333333333,0
85015.6666666667,0
85016,0
85016.3333333333,0
85016.6666666667,0
85017,0
85017.3333333333,0
85017.6666666667,0
85018,0
85018.3333333333,0
85018.6666666667,0
85019,0
85019.3333333333,0
85019.6666666667,0
85020,0
85020.3333333333,0
85020.6666666667,0
85021,0
85021.3333333333,0
85021.6666666667,93
85022,93
85022.3333333333,93
85022.6666666667,93
85023,93
85023.3333333333,93
85023.6666666667,93
85024,93
85024.3333333333,93
85024.6666666667,93
85025,93
85025.3333333333,93
85025.6666666667,93
85026,93
85026.3333333333,93
85026.6666666667,93
85027,93
85027.3333333333,93
85027.6666666667,93
